country,code,year,exportacao de materias primas_agricolas,importacao de materias primas_agricolas,porcentagem da populacao rural,gastos com educacao ajustados,porcentagem da populacao com acesso a agua potavel,porcentagem da populacao com acesso a saneamento basico,porcentagem da populacao feminina,populacao_total,indice de gini,porcentagem da populacao vivendo com menos de 50% da renda mediana,continent
South Sudan,SSD,2018,,,80.385,1.7627250334384,40.981506,14.45063554,49.9563043621658,10975924.0,,,Africa
Sweden,SWE,2018,3.91914723705363,1.30071401386854,12.569,7.13059532798427,99.82620051,99.28848273,49.9457761669857,10175214.0,30.0,10.8,Europe
Canada,CAN,2018,4.49836039972621,0.844354705339755,18.589,4.93,99.22363119,99.08828896,50.3915299543153,37065178.0,,,North America
Kiribati,KIR,2018,,,45.943,6.1,76.36123063,44.81107834,50.8485696034254,115842.0,,,Oceania
South Korea,KOR,2018,0.948202981647715,1.36663501982733,18.541,4.63873508046876,99.74793655,99.94703154,49.9168817920843,51606633.0,,,Asia
"Macedonia, Republic of",MKD,2018,0.438739836126919,0.796948523709629,42.037,3.2684286969097,97.63263069,97.23607252,49.9664659424078,2082957.0,33.0,17.4,Europe
Malawi,MWI,2018,1.33919509731051,2.4732829515586,83.063,4.62239937584421,68.50613036,25.9966614,50.7015156905763,18143215.0,,,Africa
Trinidad and Tobago,TTO,2018,,,46.816,2.87,98.87517077,93.91521101,50.591326633766,1389841.0,,,North America
South Africa,ZAF,2018,2.3224445478998,1.01326772533598,33.645,6.04534376205142,93.10863459,76.68318836,50.6941503848595,57792520.0,,,Africa
Bosnia and Herzegovina,BIH,2018,5.2647751193804,1.15228794825258,51.755,,96.13317676,95.38506184,51.0105360252881,3323929.0,,,Europe
Indonesia,IDN,2018,5.09433375837987,2.88939244712523,44.675,3.26727736964161,90.88029952,81.2661059,49.6438821889217,267670549.0,37.8,,Asia
Slovenia,SVN,2018,1.93015467096011,2.50341578744957,45.459,4.53585929957264,99.5,98.08099205,50.2452070327013,2073894.0,24.6,5.3,Europe
Samoa,WSM,2018,0.226798352020621,2.69184495454186,81.757,4.24,91.83885866,96.75969164,48.2562408223201,196128.0,,,Oceania
Kuwait,KWT,2018,0.0466209960162232,0.50475932143634,0.0,3.19,100.0,100.0,39.5481706247096,4137314.0,,,Asia
Seychelles,SYC,2018,0.0020302070595744,0.95965458102403,43.309,4.53711062755462,96.2508915,100.0,48.6549117350197,96762.0,32.1,14.3,Africa
Malaysia,MYS,2018,1.69191106235624,1.76045058437326,23.964,4.3216664404343,97.08077154,99.57900442,48.5785205819849,31528033.0,,,Asia
"Bahamas, The",BHS,2018,0.586012491027111,1.80144404299758,16.975,3.8356,98.8869605,94.93058233,51.4250521866532,385635.0,,,North America
Japan,JPN,2018,0.682840306838562,1.62976094135692,8.384,2.72828226892087,99.03988571,99.93018785,51.1592591291078,126529100.0,,,Asia
Greece,GRC,2018,1.52778018630932,0.864155243503712,20.942,3.1,100.0000023,98.98675045,50.916201905221,10732882.0,32.9,13.8,Europe
Sierra Leone,SLE,2018,9.4328913027291,1.64713128081492,57.945,2.71351434082158,61.40860038,15.86048135,50.1212721477712,7650149.0,35.7,7.5,Africa
"Gambia, The",GMB,2018,0.246748535987422,0.579209620148194,38.73,2.66,80.25284714,46.61215733,50.4021328963919,2280092.0,,,Africa
Philippines,PHL,2018,0.941254944822009,0.663464434210372,53.093,1.84,93.27349616,79.43866535,49.7416573851815,106651394.0,42.3,13.0,Asia
Benin,BEN,2018,56.5932263832395,1.01386198971528,52.688,2.93313927876377,65.17792394,16.07343638,50.098201703347,11485035.0,,,Africa
Somalia,SOM,2018,,,55.029,0.991144636141377,53.3865147,37.16507321,50.1333502129666,15008225.0,,,Africa
Bermuda,BMU,2018,0.0084015550514622,0.651455072086472,0.0,1.6155989572169,99.90314002,99.90314002,,63919.0,,,North America
Romania,ROU,2018,1.11395663355088,1.72335886561317,46.002,2.81,100.0,85.43642436,51.343743063071,19473970.0,35.8,18.1,Europe
Vanuatu,VUT,2018,,,74.726,4.53578814296847,91.20332244,52.66691625,49.2888015717092,292675.0,,,Oceania
Bangladesh,BGD,2018,,,63.368,1.01505910414579,97.47252486,51.21970677,49.3872966665271,161376713.0,,,Asia
Iran,IRN,2018,0.344377751163288,3.09007727171606,25.102,3.74186348432332,97.22317738,89.86408356,49.4391297606055,81800204.0,42.0,14.8,Asia
Albania,ALB,2018,0.325400218339366,0.682219683175245,39.681,3.30333022302158,94.43639147,98.97364391,49.0630945959306,2866376.0,,,Europe
Portugal,PRT,2018,2.29048086550358,1.78969953978293,34.789,4.94546749307114,99.90912281,99.60731412,52.7119617105452,10283822.0,33.5,11.5,Europe
United States of America,USA,2018,2.23298347744278,0.930461489913499,17.744,4.39647505984024,99.71312112,99.71277377,50.5200146539124,326838199.0,41.4,18.2,North America
Lebanon,LBN,2018,0.331011569686932,1.11118404816069,11.407,2.1,92.29360669,97.87058253,49.705805515578,6859408.0,,,Asia
Netherlands,NLD,2018,2.79961151992436,1.65960730540029,8.51000000000001,4.57553973366013,100.0,97.70362132,50.2209435647813,17231624.0,28.1,8.1,Europe
Libya,LBY,2018,0.0482796646340682,0.341812620087084,19.898,2.1374382,99.8915238,92.10600221,49.4837888079251,6678565.0,,,Africa
Puerto Rico,PRI,2018,,,6.422,8.62496710627586,99.86789058,100.0,52.4500937294998,3193354.0,,,North America
Russia,RUS,2018,2.21834957612455,1.01192635787822,25.567,4.41883713156303,96.8056269,88.86099167,53.6617623581325,144477859.0,37.5,10.8,Europe
Gabon,GAB,2018,,,10.63,3.06,84.87081169,49.49442952,49.0686201649149,2119275.0,,,Africa
Luxembourg,LUX,2018,1.52209161457063,2.03488662167366,9.01900000000001,5.0423430370069,99.87330453,97.59732717,49.5392589748512,607950.0,35.4,14.3,Europe
St. Vincent and the Grenadines,VCT,2018,0.0946669787542899,1.68693899268584,47.802,5.17857233696614,95.1452199,87.1843449,49.2087832320116,110210.0,,,North America
Ireland,IRL,2018,0.359695631974321,0.50889786987451,36.83,4.18751783574594,97.40528536,91.36120557,50.4255094845201,4867316.0,,,Europe
Northern Mariana Islands,MNP,2018,,,8.38200000000001,,100.0,79.11631606,,56889.0,,,Oceania
New Caledonia,NCL,2018,,,29.317,0.53888079544,98.83861574,100.0,49.6610544812955,270650.0,,,Oceania
Austria,AUT,2018,1.6239173347422,1.95180632622951,41.703,5.0466845118099,100.0,99.97281495,50.8294266482503,8840521.0,30.8,10.2,Europe
Panama,PAN,2018,,,32.291,2.8,93.87808825,82.19061536,49.9053836510993,4176868.0,49.2,22.3,North America
Central African Republic,CAF,2018,29.424585662513,0.967012785190928,58.636,1.15,39.22754832,14.84783556,50.4364737081782,4666375.0,,,Africa
Chad,TCD,2018,,,76.941,1.76559848210136,45.46056009,11.58993917,50.0848994170785,15477727.0,,,Africa
Bahrain,BHR,2018,0.0612341421312377,0.634823567628237,10.713,2.91,100.0,100.0,36.3482516056683,1569440.0,,,Asia
Sint Maarten (Dutch part),SXM,2018,,,0.0,,,,,40654.0,,,North America
Grenada,GRD,2018,,,63.728,3.75,,,49.6074437635152,111449.0,,,North America
Guinea,GIN,2018,,,63.86,2.06390351934293,63.87264074,27.22968107,51.8211107004733,12414292.0,,,Africa
Monaco,MCO,2018,,,0.0,1.03,100.0,100.0,,38682.0,,,Europe
Kyrgyzstan,KGZ,2018,2.3364556989672,0.486955537542908,63.649,5.38882201101859,90.1601763,97.66372821,50.5248630835062,6322800.0,27.7,3.8,Asia
Norway,NOR,2018,0.719621013260165,1.22829896762011,17.752,6.59286515608484,99.99999657,98.05325263,49.5246311324926,5311916.0,27.6,8.0,Europe
Zimbabwe,ZWE,2018,3.22329793257893,0.503378994823055,67.791,1.91,63.53877337,36.35716003,52.3567520651976,14438812.0,,,Africa
Peru,PER,2018,0.971697043100099,1.35059396072274,22.093,3.25681030469029,92.00718508,77.18766036,50.3377554939133,31989265.0,42.4,19.3,South America
Cayman Islands,CYM,2018,,,0.0,,,,,64172.0,,,North America
Andorra,AND,2018,1.52025269175146,0.394202734695109,11.938,2.44,100.0000012,100.0000012,,77008.0,,,Europe
Burundi,BDI,2018,0.0587901496787668,1.71489869972457,86.968,5.17552163934371,61.46062113,45.78603939,50.4219946366025,11175379.0,,,Africa
Sri Lanka,LKA,2018,,,81.524,1.63003760410815,92.20617472,93.6556322,51.9668176568014,21670000.0,,,Asia
Ghana,GHA,2018,1.38140975954719,1.17034895143237,43.94,4.24426216944218,83.53055643,21.82532757,49.3258297043838,29767108.0,,,Africa
Morocco,MAR,2018,0.715656548372016,1.60507545343809,37.547,5.2,87.7897571,85.40346662,50.4038472912818,36029089.0,,,Africa
Turkey,TUR,2018,0.439495541066185,2.55609032473337,24.857,3.79819811778181,96.72060939,98.14568658,50.6778132013215,82340090.0,41.9,15.6,Asia
Guatemala,GTM,2018,3.0070773604907,1.64644211836542,48.946,2.96336615593555,93.24001364,67.44372128,50.7593494959228,16346950.0,,,North America
Paraguay,PRY,2018,1.52306711290849,0.720031897311484,38.415,3.36084130345832,99.58883562,90.73172627,49.1516113483061,6956069.0,46.0,18.3,South America
Cambodia,KHM,2018,2.20747904890469,2.39399255151935,76.612,2.00417580798867,70.25363342,62.45973544,51.1979812668406,16249795.0,,,Asia
Guam,GUM,2018,,,5.22,8.3161306,99.6952,,49.4944803040357,165770.0,,,Oceania
Senegal,SEN,2018,1.82891583353526,1.50119560460645,52.808,4.98872583907461,82.39466139,54.90449848,51.2773297682071,15854324.0,,,Africa
Antigua and Barbuda,ATG,2018,0.0,2.28209708096996,75.401,2.25,,,51.7884962921418,96282.0,,,North America
Sao Tome and Principe,STP,2018,0.0519222569271455,1.12305555704272,27.197,3.48,78.18506249,44.80527366,49.9635126426324,211032.0,,,Africa
Angola,AGO,2018,0.345211120231254,0.996677570363818,34.486,3.57,56.59174872,51.12074396,50.5304629337424,30809787.0,51.3,22.8,Africa
Jordan,JOR,2018,0.327925988062266,1.09617379395308,9.021,2.72953983500977,98.96747344,97.23952649,49.389683544596,9965322.0,,,Asia
Belize,BLZ,2018,1.33067354554213,1.55024454767895,54.276,6.39,98.39929451,88.18441736,50.1925230570834,383071.0,,,North America
Iceland,ISL,2018,0.689314241327476,0.995941201846655,6.187,7.46709678475814,99.99999943,98.78164877,49.8117085224168,352721.0,,,Europe
Madagascar,MDG,2018,1.98241551761767,2.86422719272858,62.809,2.08,51.58697984,11.52874444,50.1239666132987,26262313.0,,,Africa
Tonga,TON,2018,,,76.869,2.93,98.65836339,93.0929125,49.9869184778922,103199.0,,,Oceania
Egypt,EGY,2018,1.67449203267413,2.65541970200711,57.296,4.4111256,99.32633211,96.71394067,49.4699716435901,98423602.0,,,Africa
Cuba,CUB,2018,,,22.963,13.01,96.54950123,90.93165485,50.3328498327681,11338146.0,,,North America
C̫te d'Ivoire,CIV,2018,9.48366194162674,0.608491592899418,49.221,3.20227235142146,70.97608502,33.05107549,49.5191195771262,25069226.0,,,Africa
Vietnam,VNM,2018,1.83618700911186,3.05995400217051,64.081,4.61226021476106,95.51497454,86.02534939,50.0964096241893,95545959.0,35.7,14.0,Asia
Liberia,LBR,2018,,,48.849,3.66,74.28973966,17.6760717,49.7682910228231,4818976.0,,,Africa
Venezuela,VEN,2018,,,11.792,6.54,94.03999043,95.39624796,50.6332598022849,28887117.0,,,South America
Faroe Islands,FRO,2018,,,57.936,,100.0,,,48497.0,,,Europe
Marshall Islands,MHL,2018,,,22.969,6.51,88.56056406,83.81543267,,58412.0,,,Oceania
"Tanzania, United Republic of",TZA,2018,1.24805856192073,1.37154052778507,66.224,3.73,58.52723439,30.10877427,50.0510109095796,56313444.0,,,Africa
United Kingdom of Great Britain and Northern Ireland,GBR,2018,0.488454457094834,1.28073782665446,16.602,5.37965756263478,100.0000015,99.10917758,50.6352745607579,66460344.0,,,Europe
Guinea-Bissau,GNB,2018,,,56.64,1.16,58.95852593,16.69198488,51.1688071945639,1874304.0,,,Africa
Mozambique,MOZ,2018,0.555257018331934,1.45458408016918,64.012,5.38,58.40613698,33.98682894,51.4751911012775,29496009.0,,,Africa
Liechtenstein,LIE,2018,,,85.662,3.06221621456356,100.0,99.95,,37918.0,,,Europe
Oman,OMN,2018,0.0211759670073373,0.441804076013443,15.461,6.49726909438033,91.52309333,99.31980768,34.0140835154787,4829476.0,,,Asia
Denmark,DNK,2018,2.72644775264656,2.61513566314112,12.126,7.28187548507932,99.99999788,99.59722729,50.2742027259115,5793636.0,28.2,6.6,Europe
Italy,ITA,2018,0.700482666958069,1.9788865600598,29.562,3.94111698315743,99.91703407,99.88528149,51.3766696255652,60421760.0,,,Europe
Zambia,ZMB,2018,0.926544950851225,0.516698082660802,56.479,3.56386353320658,63.80411115,31.05240715,50.49320776034,17351714.0,,,Africa
Dominican Republic,DOM,2018,0.56088099458273,1.33597938785475,18.926,2.51925224689344,96.54280852,86.26797816,50.007796071702,10627147.0,43.7,14.2,North America
Malta,MLT,2018,0.0945190562921562,0.23988668200244,5.38800000000001,4.82033996599081,99.99999913,99.96451963,49.8733082150459,484630.0,28.7,9.7,Europe
San Marino,SMR,2018,,,2.774,3.55096,100.0,100.0,,33784.0,,,Europe
Dominica,DMA,2018,,,29.517,5.0,,,,71626.0,,,North America
Israel,ISR,2018,0.642550564875251,1.00649077204135,7.58199999999999,5.52532047626877,99.99999709,99.95829607,50.2981265779531,8882800.0,,,Asia
St. Martin (French part),MAF,2018,,,,,99.99939709,100.0,,37264.0,,,North America
Virgin Islands (U.S.),VIR,2018,,,4.279,9.3561772,98.71826738,99.37127753,52.437136961174,107001.0,,,North America
American Samoa,ASM,2018,,,12.847,11.760709,99.77377166,54.45476038,,55461.0,,,Oceania
France,FRA,2018,0.918611277343454,1.15787284045198,19.556,4.92415512975901,100.0,98.64921248,51.5842404811336,67101930.0,32.4,10.0,Europe
