country,code,year,exportacao de materias primas_agricolas,importacao de materias primas_agricolas,porcentagem da populacao rural,gastos com educacao ajustados,porcentagem da populacao com acesso a agua potavel,porcentagem da populacao com acesso a saneamento basico,porcentagem da populacao feminina,populacao_total,indice de gini,porcentagem da populacao vivendo com menos de 50% da renda mediana,continent
Greenland,GRL,2018,0.0089575968035218,0.474158484639806,13.184,,100.0000034,99.59723705,,56023.0,,,North America
New Zealand,NZL,2018,12.7299139784599,0.807601092778102,13.462,7.37,99.99999614,99.99999614,50.8377693974718,4900600.0,,,Oceania
Niger,NER,2018,0.601358650354036,0.683381054065143,83.575,2.43122719898823,46.41606758,13.86985027,49.7710025976669,22442831.0,,,Africa
Solomon Islands,SLB,2018,73.2897332230375,0.690509678810319,76.251,9.94,67.00625416,34.22832548,49.1546374698249,652856.0,,,Oceania
Czech Republic,CZE,2018,1.28981447584482,1.15297955150972,26.208,3.72724973131935,99.8803606,99.13391769,50.8085889327815,10629928.0,25.0,4.9,Europe
Sudan,SDN,2018,,,65.358,2.18,60.32302546,36.67269614,50.047414530166,41801532.0,,,Africa
Bolivia,BOL,2018,,,30.575,6.08,92.25507792,62.06257966,49.7833991301085,11353140.0,42.6,20.1,South America
Bhutan,BTN,2018,,,59.105,7.03071577667345,97.25944181,73.94374505,47.0026352207594,754396.0,,,Asia
Thailand,THA,2018,4.04296712217931,1.55036763519238,50.051,4.18688413222817,99.84851617,98.12521791,51.2687046149695,69428454.0,36.4,11.3,Asia
Mauritius,MUS,2018,1.05334833461476,2.12845892749171,59.207,4.77,99.86628593,,50.5771064028586,1265303.0,,,Africa
Colombia,COL,2018,3.77463102621675,0.962266920425026,19.222,4.0003392879998,97.13676529,91.82623874,50.9257716952294,49661056.0,50.4,20.4,South America
Ethiopia,ETH,2018,1.96762681388132,0.481758513766103,79.237,3.07445529645457,46.63848073,8.350931686,49.9788884188067,109224410.0,,,Africa
Nepal,NPL,2018,,,80.26,3.24498066493165,89.1916007,69.2078923,54.5353433292596,28095712.0,,,Asia
Togo,TGO,2018,9.54268748711858,1.60150445693406,58.298,4.78905382578695,67.1947934,17.87316737,50.2680472221465,7889095.0,,,Africa
Botswana,BWA,2018,0.0813823924357468,0.823874389624793,30.554,9.48,91.24445539,78.5138996,51.7307604432344,2254067.0,,,Africa
Cameroon,CMR,2018,,,43.626,2.68,65.04524303,43.80832359,50.0034878287467,25216261.0,,,Africa
Singapore,SGP,2018,0.581057699380546,0.395533852665026,0.0,2.76,100.0,100.0,47.6581254061005,5638676.0,,,Asia
Slovakia,SVK,2018,0.872419980552916,1.03976304900847,46.274,3.79418686843772,99.78783283,97.53177272,51.3383325230785,5446771.0,25.0,9.3,Europe
Honduras,HND,2018,1.17927769514568,1.24190786075747,42.904,6.33,94.73526399,81.89836471,50.0493401684669,9587523.0,48.9,24.5,North America
Maldives,MDV,2018,0.0124119894931634,2.55480534238615,60.192,4.42773953709704,99.49723106,97.20885225,37.2649814622342,515704.0,,,Asia
Mexico,MEX,2018,0.215618458146891,0.986190964160267,19.844,4.5312029350149,99.26913243,91.04184497,51.0892808319391,126190782.0,45.4,15.3,North America
Cyprus,CYP,2018,0.731291444098624,0.455511066341071,33.19,5.50433818644107,99.76518389,99.39585892,49.9710744983023,1189262.0,32.7,7.5,Asia
Georgia,GEO,2018,0.910492071395453,0.850618917657949,41.368,1.76,97.09507948,86.08750022,52.2912375035786,3726549.0,36.4,14.6,Asia
India,IND,2018,1.56952578084058,1.70444378510896,65.97,3.08,89.56293708,65.40956223,48.0235396426684,1352642283.0,,,Asia
Uzbekistan,UZB,2018,3.25939527137582,2.88687461170149,49.522,9.3747642,97.83094172,99.99999699,50.137358915283,32956100.0,,,Asia
Costa Rica,CRI,2018,1.89231398586973,1.12371978878535,20.66,7.19250585868468,99.78441783,97.58654255,50.0098510974123,4999443.0,48.0,19.3,North America
Curacao,CUW,2018,,,10.855,5.01811787683945,,,54.0954698223689,159336.0,,,South America
Lithuania,LTU,2018,3.11194922672763,2.50114541006647,32.321,3.73969573361986,97.99053454,93.89547291,53.7919586473278,2801543.0,35.7,13.2,Europe
Papua New Guinea,PNG,2018,,,86.831,6.9,43.79194871,19.0774038,48.9627278731314,8606324.0,,,Oceania
Nigeria,NGA,2018,0.133973746257819,0.791532283798008,49.656,0.85,74.07084579,40.91261014,49.3361135462707,195874685.0,35.1,13.2,Africa
Estonia,EST,2018,0.004692489693786,2.74989527075811,31.12,4.63476091267985,99.5725742,99.14296842,52.8584268202066,1321977.0,30.3,9.9,Europe
Ukraine,UKR,2018,2.02343430219495,1.06451995806565,30.648,4.88300724584099,93.85588486,97.74059161,53.687750696908,44622518.0,26.1,5.0,Europe
Djibouti,DJI,2018,,,22.223,7.80288270792758,75.9368505,65.33030773,47.3667854457553,958923.0,,,Africa
Spain,ESP,2018,1.0415972982904,1.09017569731158,19.679,3.99075859152552,99.92606067,99.90394689,50.8966413132559,46797754.0,34.7,15.7,Europe
Finland,FIN,2018,7.85993526805392,2.19600194556532,14.618,5.79774172413366,99.99999668,99.44792736,50.7207584853832,5515525.0,27.3,6.8,Europe
Brazil,BRA,2018,5.25476777567104,1.14941983081235,13.431,6.28341577454804,98.67949474,88.49054496,50.8299167629894,209469320.0,53.9,23.6,South America
Germany,DEU,2018,0.748763235803009,1.30445032831117,22.688,4.47119524641202,99.99999765,99.2251891,50.6603673700529,82905782.0,,,Europe
Mauritania,MRT,2018,0.0317547850661654,0.358490124421847,46.328,2.93,71.02984883,48.90936787,49.8226562187735,4403312.0,,,Africa
Switzerland,CHE,2018,0.157442567689716,0.554717573472358,26.203,4.55313092064646,100.0,99.89987362,50.4271246622237,8514329.0,33.1,11.2,Europe
Tuvalu,TUV,2018,,,37.613,,100.0,83.74384221,,11505.0,,,Oceania
British Virgin Islands,VGB,2018,,,52.277,,99.86438356,,,29795.0,,,North America
Rwanda,RWA,2018,1.09353495821902,0.8078434168269,82.789,3.04731088557594,59.55451065,67.72336771,50.8610613471713,12301969.0,,,Africa
Congo,COG,2018,2.21964362249671,0.619999130826226,33.084,2.52,73.40681542,20.26857109,50.0656037730416,5244363.0,,,Africa
Pakistan,PAK,2018,0.953789253837377,4.35926094358876,63.334,2.02734916362365,89.8748303,64.75166491,48.5380747169765,212228288.0,31.6,4.4,Asia
Saudi Arabia,SAU,2018,0.118641205581931,0.735120494591069,16.156,7.1861867,100.0,100.0,42.445847976176,33702757.0,,,Asia
Eritrea,ERI,2018,,,,1.72,,,,,,,Africa
Myanmar,MMR,2018,,,69.421,1.60359519022477,79.60337231,72.69104449,51.8078968699039,53708318.0,,,Asia
Turks and Caicos Islands,TCA,2018,,,6.902,2.43486903297754,94.31818182,87.98863636,,37667.0,,,North America
Poland,POL,2018,1.31508229997336,1.60356936098348,39.942,4.44622148394068,99.81493413,99.99796232,51.5307073794516,37974750.0,30.2,9.5,Europe
Equatorial Guinea,GNQ,2018,,,27.857,1.0,,,44.4558529404125,1308966.0,,,Africa
Tajikistan,TJK,2018,,,72.866,3.76787869735869,80.41158991,96.42603249,49.5838354386136,9100847.0,,,Asia
Hungary,HUN,2018,0.621371025894595,1.12925130489478,28.649,4.3782943722657,100.0,97.98852121,52.4324280334941,9775564.0,29.6,10.9,Europe
"Yemen, Rep.",YEM,2018,,0.463617294148411,63.358,3.6,58.75449134,53.12701573,49.6116574930849,28498683.0,,,Asia
Cabo Verde,CPV,2018,,1.75483422474507,34.268,5.20376466054591,87.64702962,75.81517832,49.8190391419807,543764.0,,,Africa
Guyana,GUY,2018,1.71826125841509,0.325350531575695,73.394,2.92,95.54387996,85.76842506,49.8080248316125,779007.0,,,South America
Ecuador,ECU,2018,4.71946962540111,0.89519936015521,36.179,3.93,94.66226374,89.66716322,49.9706251782698,17084359.0,45.4,19.3,South America
Bulgaria,BGR,2018,1.30416633951191,1.27478545101065,24.992,4.00782527589032,99.08322437,86.01421235,51.4140884138516,7025037.0,41.3,14.1,Europe
Kenya,KEN,2018,13.3078084002241,1.65922076717995,72.97,4.94026856634659,60.27174819,32.54954127,50.3160203897178,51392570.0,,,Africa
Lesotho,LSO,2018,,,71.847,5.94339453486071,71.500762,46.51559351,50.7168954341523,2108327.0,,,Africa
Iraq,IRQ,2018,,,29.527,4.6,96.90240492,98.48447542,49.4086815277589,38433604.0,,,Asia
Burkina Faso,BFA,2018,9.82856411870167,0.40509700282537,70.642,4.31,48.36939374,20.99241949,50.0954815202072,19751466.0,,,Africa
Haiti,HTI,2018,,,44.722,1.461652,65.89944466,35.81744586,50.652209893517,11123183.0,,,North America
Tunisia,TUN,2018,0.456056948908178,1.77249210978428,31.055,5.9,96.51537319,95.31562708,50.4371518597642,11565203.0,,,Africa
Namibia,NAM,2018,1.13598075797979,0.486698706006899,49.968,2.88981122644904,83.61552518,34.67974848,51.5536903157293,2448300.0,,,Africa
Turkmenistan,TKM,2018,,,48.407,2.32,99.34508272,98.59667755,50.7607374042498,5850902.0,,,Asia
Moldova,MDA,2018,0.642647895396218,1.42582623912433,57.371,4.58580046771877,89.76460943,77.62450601,52.035563123928,2708214.0,25.7,3.8,Europe
Fiji,FJI,2018,9.15053089770964,0.432042442707227,43.752,3.95506624794853,94.25716533,98.79865447,49.3005014205028,883490.0,,,Oceania
Kosovo,XKX,2018,,,,,,,,1797085.0,,,Europe
Armenia,ARM,2018,0.448222733889516,0.987520996042251,36.851,2.2905952455888,99.95192387,93.68810568,52.9565771522637,2951741.0,34.4,7.8,Asia
Azerbaijan,AZE,2018,0.440598160472218,1.71808106048409,44.32,2.55587542597012,94.69388812,96.12652151,50.1157491047071,9939771.0,,,Asia
Aruba,ABW,2018,0.0759474216156399,0.310804561151118,56.589,5.78798338143624,,,52.5310356555751,105846.0,,,North America
United Arab Emirates,ARE,2018,0.0993361903990193,0.498236708355045,13.478,,99.97133,99.01080849,30.6366879500976,9630966.0,26.0,9.1,Asia
Nauru,NRU,2018,,,0.0,,100.0,,,10678.0,,,Oceania
Argentina,ARG,2018,0.99786070605979,0.891536697840004,8.13,4.99359832798671,,,51.2373484456557,44494502.0,41.3,20.3,South America
French Polynesia,PYF,2018,,,38.166,0.499851816078,100.0,97.06121635,49.3245652260033,277673.0,,,Oceania
St. Lucia,LCA,2018,0.244766927904796,1.39394385657458,81.322,3.32612774191281,96.8872019,83.375995,50.7504535708395,181890.0,,,North America
Belgium,BEL,2018,1.29597023913315,1.18298906078104,1.999,6.0281574262708,99.99999814,99.48614999,50.593319387085,11427054.0,27.2,9.6,Europe
Kazakhstan,KAZ,2018,0.260070571611458,0.637813871558602,42.572,2.84719034379269,95.42023857,97.87189539,51.5114836468188,18276452.0,27.8,3.8,Asia
Mongolia,MNG,2018,5.3262984229895,0.355062739204964,31.555,4.33571585533972,83.58826903,65.42635694,50.6695447058148,3170214.0,32.7,9.9,Asia
Laos,LAO,2018,8.37712219613895,1.12061652982979,64.996,2.61316360849818,83.28588532,77.20711375,49.7893648061644,7061498.0,38.8,10.3,Asia
Palau,PLW,2018,0.15041339032965,1.69550940220789,20.07,,99.65884587,99.61449459,,17911.0,,,Oceania
Qatar,QAT,2018,0.0101447734281067,0.478750769452215,0.864999999999995,2.2916909311443,99.56810194,100.0,24.4952873836765,2781682.0,,,Asia
Barbados,BRB,2018,0.171049725055224,1.00838210974449,68.853,4.36856980964508,98.504449,97.2834998,51.6728300307005,286640.0,,,North America
Isle of Man,IMN,2018,,,47.412,,99.075,,,84073.0,,,Europe
Uruguay,URY,2018,17.5101713640043,1.76777020515306,4.666,5.22476736479713,99.47859894,97.48035591,51.7215426942936,3449290.0,39.7,16.9,South America
Montenegro,MNE,2018,7.30701910975212,0.498862789972462,33.187,,98.50629579,97.21424466,50.5590129387722,622227.0,,,Europe
Comoros,COM,2018,0.0004673902170164,0.788322153317306,71.035,2.53484580885432,80.187987,35.88046261,49.5587044437129,832322.0,,,Africa
Jamaica,JAM,2018,0.160859217984969,1.1056181800463,44.326,5.51940738715016,90.85157578,86.49974124,50.3398296269012,2934853.0,,,North America
Croatia,HRV,2018,4.5389334238195,1.22440129405369,43.053,3.80870617338467,,96.54691297,51.8526217475815,4087843.0,29.7,11.5,Europe
Belarus,BLR,2018,2.82626313130502,1.96441154585272,21.405,4.70387694754618,96.51168256,97.8656717,53.4560542241486,9483499.0,25.2,5.2,Europe
"Congo, Dem. Rep.",COD,2018,,,55.54,2.06,44.64476808,16.16946438,50.0977433863968,84068092.0,,,Africa
Gibraltar,GIB,2018,,,0.0,,100.0,100.0,,33715.0,,,Europe
Serbia,SRB,2018,,,43.908,3.65677613207764,94.53003261,97.89639382,51.002522964154,6982604.0,,,Europe
Chile,CHL,2018,7.72443878890919,0.626879368354469,12.436,5.28615918597897,99.99999739,99.99999739,50.7270318390045,18729166.0,,,South America
China,CHN,2018,0.418352625994981,3.57402709222881,40.848,1.79,93.33588436,89.29564155,48.6793739572695,1392730000.0,,,Asia
Mali,MLI,2018,,,57.644,3.79838134419349,79.30885105,42.04244608,49.940996726292,19077755.0,,,Africa
Algeria,DZA,2018,,,27.371,4.4671956,94.03741308,86.30309248,49.4842678798151,42228415.0,,,Africa
El Salvador,SLV,2018,0.724188042261016,2.10407600676365,27.977,3.55861231875668,97.58628003,82.78125746,53.1140024358563,6420740.0,38.6,15.3,North America
Latvia,LVA,2018,11.8669201535945,3.01643171425972,31.858,3.91104410597573,98.67994007,92.40346031,54.0101666562093,1927174.0,35.1,11.9,Europe
Nicaragua,NIC,2018,0.760734147318954,1.0852807514031,41.478,4.1,81.52108535,72.92057175,50.7127056800849,6465502.0,,,North America
Afghanistan,AFG,2018,16.6945993604674,1.82134875942393,74.505,2.59352048920558,69.60193058,47.39066209,48.6358467017121,37171922.0,,,Asia
Uganda,UGA,2018,3.69702505682473,1.85802309004625,76.226,1.72014672365161,52.61236008,19.52777728,50.7760788964281,42729032.0,,,Africa
Eswatini,SWZ,2018,5.56260932223358,1.29139464018858,76.201,7.04689166151407,69.65441173,63.40990744,51.1489306276479,1136274.0,,,Africa
Australia,AUS,2018,2.58928758760938,0.759294277703101,13.988,5.0220762471397,99.96989482,99.99115238,50.1996232411296,24982688.0,,,Oceania
Syria,SYR,2018,,,45.838,2.5960693,93.89346117,89.89132051,49.8142113613984,16945062.0,,,Asia
Suriname,SUR,2018,4.73825261219754,0.0854574997334787,33.94,3.4447781,97.09310684,88.54872177,49.7170943094202,575987.0,,,South America
